,year,bcc-csm1-1,CCSM4,CSIRO-Mk3L,FGOALS-gl,GISS-E2-R,HadCM3,IPSL-CM5A-LR,MIROC-ES2L,MPI-ESM-P,MRI-CGCM3,MRI-ESM2-0,CESM1-LME,CESM2,MPI-ESM1-2-LR,EC-Earth3-Veg-LR,MIROC-ESM,INM-CM4-8
1005,1855,286.8125021,284.9639514,287.0914827,286.8746178,287.5948302,286.1676,285.3361601,288.25336,286.590915,286.7073168,286.9474593,286.075675,285.4654867,286.5476352,286.6391854,286.9535324,286.5384216
1006,1856,286.7747855,285.0220049,287.175743,286.9266163,287.4347046,286.3003279,285.2253875,288.23578,286.4079788,286.6039357,286.9445227,286.1121355,285.5911727,286.3934596,286.6393932,287.0798736,286.5308533
1007,1857,286.8210111,284.8562526,287.1030414,286.8135201,287.2413491,286.2448606,285.0601481,288.28665,286.4003552,286.6622636,286.8742116,286.1926365,285.6853271,286.5533768,286.5478493,287.1745189,286.5332947
1008,1858,286.8008794,284.8966444,287.1908784,286.7341105,287.3487206,286.462709,284.9775179,288.20767,286.4647466,286.7894906,286.8559062,286.2538628,285.5566419,286.5930387,286.6062976,287.0451629,286.4447021
1009,1859,286.7919578,284.9982416,287.181217,286.8798927,287.489236,286.307291,285.0433954,288.183,286.5753289,286.7503672,287.0269819,286.4743817,285.710105,286.5854485,286.5136852,287.1994259,286.3985596
1010,1860,286.7541309,284.9164051,287.1569976,286.8800154,287.5224762,286.2292132,285.2054707,288.29617,286.3646979,286.742969,286.8741228,286.6306606,285.8230475,286.3704516,286.6510384,287.3129571,286.3674011
1011,1861,286.7701752,284.9498428,287.1073059,286.7349681,287.5237162,286.452918,285.3153126,288.23093,286.4175144,286.7432534,286.8451723,286.5239536,285.6972906,286.5882384,286.7317244,287.1865447,286.4516602
1012,1862,286.8307891,284.9810703,287.0940883,286.8408756,287.5143561,286.4531184,285.2422415,288.181,286.2875066,286.7997724,286.8007425,286.2211368,285.8444871,286.4357521,286.7717355,287.3345085,286.3640747
1013,1863,286.7096365,285.0387803,287.0970868,286.9484582,287.5107159,286.1804551,285.2284004,288.16425,286.2907555,286.7651928,286.8953418,286.3452577,285.8243345,286.3189925,286.612814,287.3142508,286.410675
1014,1864,286.8336338,285.0836874,287.1540317,286.9671981,287.5163349,286.2360291,285.3758145,288.27463,286.5807852,286.7645448,286.766236,286.5043992,285.8109645,286.3615487,286.4427721,287.3008112,286.406189
1015,1865,286.8349886,284.9930663,287.1669166,286.8412605,287.5621931,286.2483459,285.5058422,288.47916,286.6104125,286.7342414,286.8907239,286.2655017,285.708615,286.3655115,286.5901634,287.1979281,286.4311829
1016,1866,286.8627943,284.753267,287.2123979,286.7012666,287.5761038,286.10624,285.3778745,288.27942,286.5571222,286.7090833,286.8284038,286.296318,285.7935316,286.3591177,286.7713428,287.2832873,286.5075989
1017,1867,286.7695282,284.8820302,287.1224087,286.8761954,287.651682,286.3105801,285.1922194,288.00937,286.6168887,286.6492817,286.8027315,286.38558,285.6482367,286.4240353,286.7658615,287.137235,286.4252625
